"","X","id","has_bathroom","has_refrig","total_persons","has_comp","num_phones","disabled","married","divorced","separated","widower","single","num_children","num_65","num_adults","dependency","water_inside","water_outside","no_water","gov_elec","private_elec","no_elec","coop_elec","no_toilet","sewer","septictank","latrine","toilet_other","no_cooking_energy","cooking_.elec","cooking_gas","cooking_woodcoal","trash_truck","trash_buried","trash_burning","trash_throwing","trash_river","age","Target","age_z"
"105",105,"ID_4cf6a7097",1,1,3,0,2,0,0,0,0,0,1,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,11,0,-1.07825585864073
"106",106,"ID_12e339d76",1,1,3,0,2,0,0,0,0,0,1,1,0,2,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,22,0,-0.569285512851891
"108",108,"ID_ccc920272",1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,79,0,2.06810627896301
"110",110,"ID_5be3504eb",1,1,2,0,0,0,0,0,0,1,0,0,1,2,0.5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,78,0,2.02183624752766
"112",112,"ID_642ae6a8d",1,1,6,0,4,0,0,0,0,0,1,2,1,4,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,18,0,-0.754365638593288
"113",113,"ID_d483e2cc3",1,1,6,0,4,0,1,0,0,0,0,2,1,4,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,67,0,1.51286590173882
"114",114,"ID_8881f94cf",1,1,6,0,4,0,0,1,0,0,0,2,1,4,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,44,0,0.448655178725789
"115",115,"ID_45986680d",1,1,6,0,4,0,1,0,0,0,0,2,1,4,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,63,0,1.32778577599742
"116",116,"ID_275651c54",1,1,6,0,4,0,0,0,0,0,1,2,1,4,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,20,0,-0.66182557572259
"117",117,"ID_fc8d5b445",1,1,6,0,4,0,0,0,0,0,0,2,1,4,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-1.54095617299422
"118",118,"ID_d189a7af6",1,1,4,0,4,0,1,0,0,0,0,1,0,3,0.25,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,51,0,0.772545398773233
"119",119,"ID_530183555",1,1,4,0,4,0,0,0,0,0,1,1,0,3,0.25,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,13,0,-0.985715795770033
"120",120,"ID_2a67a7630",1,1,4,0,4,0,1,0,0,0,0,1,0,3,0.25,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,55,0,0.957625524514629
"125",125,"ID_0bc817cb2",1,1,5,0,3,0,0,0,0,1,0,0,1,5,0.2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,68,1,1.55913593317417
"126",126,"ID_1cfb76926",1,1,5,0,3,0,0,0,0,0,1,0,1,5,0.2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,21,1,-0.61555554428724
"127",127,"ID_85a393415",1,1,4,0,3,0,0,1,0,0,0,0,3,4,0.75,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,42,0,0.356115115855091
"128",128,"ID_5beff72a2",1,1,4,0,3,0,1,0,0,0,0,0,3,4,0.75,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,73,0,1.79048609035091
"129",129,"ID_137c34443",1,1,4,0,3,1,1,0,0,0,0,0,3,4,0.75,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,75,0,1.88302615322161
"130",130,"ID_2ab9e1c17",1,1,4,0,3,1,0,0,0,1,0,0,3,4,0.75,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,97,0,2.90096684479929
"131",131,"ID_651377e3e",1,1,4,0,5,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,7,0,-1.26333598438213
"132",132,"ID_8296b0e0e",1,1,4,0,5,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,33,0,-0.0603151670630512
"133",133,"ID_22d324777",1,1,4,0,5,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,34,0,-0.0140451356277021
"137",137,"ID_643247b47",1,1,4,1,2,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,6,0,-1.30960601581748
"138",138,"ID_d0d07c405",1,1,4,1,2,0,1,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,38,0,0.171034990113694
"139",139,"ID_39a4bc834",1,1,4,1,2,0,0,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,-1.35587604725283
"140",140,"ID_28fd4d90b",1,1,4,1,2,0,1,0,0,0,0,2,0,2,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,42,0,0.356115115855091
"142",142,"ID_39f0d4e07",1,1,2,0,2,0,0,0,1,0,0,1,0,1,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,49,1,0.680005335902535
"143",143,"ID_f46b0fb68",1,1,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,58,0,1.09643561882068
"144",144,"ID_46b298da9",1,1,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,49,0,0.680005335902535
"145",145,"ID_912ff9986",1,1,10,0,5,0,0,0,0,0,1,1,1,9,0.2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,18,0,-0.754365638593288
"146",146,"ID_3f1c6eec1",1,1,10,0,5,0,0,0,0,0,1,1,1,9,0.2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,52,0,0.818815430208582
"147",147,"ID_44bb758b6",1,1,10,0,5,0,0,0,0,0,1,1,1,9,0.2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,72,0,1.74421605891556
"148",148,"ID_fa7b8e81a",1,1,10,0,5,0,0,0,0,0,1,1,1,9,0.2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,24,0,-0.476745449981193
"149",149,"ID_bc8ba77e7",1,1,10,0,5,0,0,0,0,0,0,1,1,9,0.2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,27,0,-0.337935355675146
"150",150,"ID_fe1ee7296",1,1,10,0,5,0,0,0,0,0,1,1,1,9,0.2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,45,0,0.494925210161138
"151",151,"ID_715f2450c",1,1,10,0,5,0,0,0,0,0,0,1,1,9,0.2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,28,0,-0.291665324239797
"152",152,"ID_cfbef9733",1,1,10,0,5,0,0,0,0,0,1,1,1,9,0.2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,22,0,-0.569285512851891
"153",153,"ID_f3b80aa49",1,1,10,0,5,0,0,0,0,0,1,1,1,9,0.2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,20,0,-0.66182557572259
"154",154,"ID_5523605f1",1,1,10,0,5,0,0,0,0,0,1,1,1,9,0.2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,49,0,0.680005335902535
"156",156,"ID_bfaf299ff",1,1,5,0,2,1,0,0,0,0,0,3,0,2,0.6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,1,-1.49468614155887
"157",157,"ID_4d206a96f",1,1,5,0,2,0,0,0,0,0,0,3,0,2,0.6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,6,1,-1.30960601581748
"158",158,"ID_d1c8bde78",1,1,5,0,2,0,1,0,0,0,0,3,0,2,0.6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,27,1,-0.337935355675146
"159",159,"ID_0d0f5ef53",1,1,5,0,2,0,1,0,0,0,0,3,0,2,0.6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,29,1,-0.245395292804448
"161",161,"ID_1339c6b89",1,1,7,0,4,0,0,0,1,0,0,1,1,6,0.285714285714286,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,28,0,-0.291665324239797
"165",165,"ID_cb94bd42b",1,1,7,0,4,0,0,0,0,0,0,1,1,6,0.285714285714286,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,27,0,-0.337935355675146
"166",166,"ID_c6ed796db",1,1,7,0,4,0,0,0,1,0,0,1,1,6,0.285714285714286,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,56,0,1.00389555594998
"167",167,"ID_f435c5e46",1,1,7,0,4,0,0,0,0,0,0,3,0,4,0.428571428571429,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,6,1,-1.30960601581748
"168",168,"ID_a51262dae",1,1,7,0,4,0,0,0,0,0,0,3,0,4,0.428571428571429,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,9,1,-1.17079592151143
"169",169,"ID_7e6d23b28",1,1,7,0,4,0,0,0,1,0,0,3,0,4,0.428571428571429,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,26,1,-0.384205387110495
"170",170,"ID_4c409e16e",1,1,7,0,4,0,1,0,0,0,0,3,0,4,0.428571428571429,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,47,1,0.587465273031836
"172",172,"ID_b0adca84e",1,1,7,0,4,0,1,0,0,0,0,3,0,4,0.428571428571429,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,60,1,1.18897568169137
"173",173,"ID_0e4c312aa",1,1,7,0,4,0,0,0,0,0,1,3,0,4,0.428571428571429,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,25,1,-0.430475418545844
"175",175,"ID_2de72feaf",1,1,6,0,5,0,0,0,0,1,0,2,0,4,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,44,1,0.448655178725789
"177",177,"ID_be4afa52d",1,1,6,0,5,0,0,0,0,0,1,2,0,4,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,23,1,-0.523015481416542
"178",178,"ID_8854aa99d",1,1,6,0,5,0,0,0,0,0,1,2,0,4,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,20,1,-0.66182557572259
"179",179,"ID_bee4053e0",1,1,6,0,5,0,0,0,0,0,1,2,0,4,0.333333333333333,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,25,1,-0.430475418545844
"180",180,"ID_78d27ecd9",1,1,4,0,4,0,0,0,0,0,1,1,0,3,0.25,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,27,0,-0.337935355675146
